Date,Open,High,Low,Close,Adj Close,Volume
07-04-2014,6694.25,6819.049805,6650.399902,6776.299805,6776.299805,635500
14-04-2014,6792.700195,6813.399902,6665.149902,6779.399902,6779.399902,374500
21-04-2014,6789.25,6869.850098,6772.850098,6782.75,6782.75,563800
28-04-2014,6778.549805,6786.25,6656.799805,6694.799805,6694.799805,509100
05-05-2014,6681.649902,6871.350098,6638.549805,6858.799805,6858.799805,575400
12-05-2014,6863.399902,7563.5,6862.899902,7203,7203,1147100
19-05-2014,7276.850098,7381,7193.549805,7367.100098,7367.100098,1275100
26-05-2014,7428.75,7504,7118.450195,7229.950195,7229.950195,1170700
02-06-2014,7264.049805,7592.700195,7239.5,7583.399902,7583.399902,1108300
09-06-2014,7621.649902,7700.049805,7525.350098,7542.100098,7542.100098,929500
16-06-2014,7534.799805,7663,7487.549805,7511.450195,7511.450195,751500
23-06-2014,7514,7593.350098,7441.600098,7508.799805,7508.799805,677800
30-06-2014,7534.049805,7758,7531.600098,7751.600098,7751.600098,674900
07-07-2014,7780.399902,7808.850098,7447.200195,7459.600098,7459.600098,968800
14-07-2014,7469,7685,7422.149902,7663.899902,7663.899902,701500
21-07-2014,7701.649902,7840.950195,7674,7790.450195,7790.450195,619100
28-07-2014,7792.899902,7799.899902,7593.899902,7602.600098,7602.600098,684600
04-08-2014,7639.549805,7752.450195,7540.100098,7568.549805,7568.549805,616800
11-08-2014,7619.850098,7796.700195,7598.600098,7791.700195,7791.700195,509000
18-08-2014,7785.25,7929.049805,7779.200195,7913.200195,7913.200195,603900
25-08-2014,7931.75,7968.25,7862.450195,7954.350098,7954.350098,571000
01-09-2014,7990.350098,8141.899902,7984,8086.850098,8086.850098,692200
08-09-2014,8132.950195,8180.200195,8057.299805,8105.5,8105.5,566700
15-09-2014,8070.350098,8160.899902,7925.149902,8121.450195,8121.450195,626400
22-09-2014,8084.450195,8159.899902,7841.799805,7968.850098,7968.850098,808200
29-09-2014,7978.450195,8030.899902,7923.850098,7945.549805,7945.549805,351400
06-10-2014,7897.399902,7972.350098,7815.75,7859.950195,7859.950195,550800
13-10-2014,7831,7928,7723.850098,7779.700195,7779.700195,735400
20-10-2014,7896.950195,8031.75,7856.950195,8014.549805,8014.549805,510300
27-10-2014,8064.350098,8330.75,7985.649902,8322.200195,8322.200195,787100
03-11-2014,8348.150391,8365.549805,8290.25,8337,8337,456100
10-11-2014,8337.799805,8415.049805,8304.450195,8389.900391,8389.900391,652100
17-11-2014,8378.400391,8489.799805,8349.099609,8477.349609,8477.349609,633800
24-11-2014,8490.950195,8617,8429.450195,8588.25,8588.25,956000
01-12-2014,8605.099609,8626.950195,8504.650391,8538.299805,8538.299805,729400
08-12-2014,8538.650391,8546.349609,8216.299805,8224.099609,8224.099609,718800
15-12-2014,8160.75,8263.450195,7961.350098,8225.200195,8225.200195,887500
22-12-2014,8255,8364.75,8147.950195,8200.700195,8200.700195,568800
29-12-2014,8214.700195,8410.599609,8214.700195,8395.450195,8395.450195,346200
05-01-2015,8407.950195,8445.599609,8065.450195,8284.5,8284.5,746900
12-01-2015,8291.349609,8530.75,8236.650391,8513.799805,8513.799805,787000
19-01-2015,8550.049805,8866.400391,8531.5,8835.599609,8835.599609,836700
26-01-2015,8871.349609,8996.599609,8775.099609,8808.900391,8808.900391,900700
02-02-2015,8802.5,8840.799805,8645.549805,8661.049805,8661.049805,959000
09-02-2015,8584.400391,8822.099609,8470.5,8805.5,8805.5,885300
16-02-2015,8831.400391,8913.450195,8793.400391,8833.599609,8833.599609,694900
23-02-2015,8856.849609,8869,8669.450195,8844.599609,8844.599609,891600
02-03-2015,8953.849609,9119.200195,8849.349609,8937.75,8937.75,804400
09-03-2015,8891.150391,8891.299805,8631.75,8647.75,8647.75,845200
16-03-2015,8656.75,8788.200195,8553,8570.900391,8570.900391,834800
23-03-2015,8591.549805,8627.75,8269.150391,8341.400391,8341.400391,941500
30-03-2015,8390.950195,8603.400391,8380.75,8586.25,8586.25,427400
06-04-2015,8615.799805,8787.400391,8573.75,8780.349609,8780.349609,735500
13-04-2015,8801.75,8841.650391,8596.700195,8606,8606,414900
20-04-2015,8618.799805,8619.950195,8273.349609,8305.25,8305.25,1058100
27-04-2015,8330.549805,8334.450195,8144.75,8181.5,8181.5,774200
04-05-2015,8230.049805,8355.650391,7997.149902,8191.5,8191.5,841500
11-05-2015,8243.200195,8332.75,8089.799805,8262.349609,8262.349609,799800
18-05-2015,8284.950195,8489.549805,8271.950195,8458.950195,8458.950195,743700
25-05-2015,8438.150391,8443.900391,8270.150391,8433.650391,8433.650391,999800
01-06-2015,8417.25,8467.150391,8056.75,8114.700195,8114.700195,757200
08-06-2015,8124.350098,8163.049805,7940.299805,7982.899902,7982.899902,711500
15-06-2015,7986.600098,8250.799805,7944.850098,8224.950195,8224.950195,701400
22-06-2015,8259.299805,8423.150391,8257.400391,8381.099609,8381.099609,696300
29-06-2015,8247.049805,8497.75,8195.650391,8484.900391,8484.900391,622700
06-07-2015,8386.150391,8561.349609,8315.400391,8360.549805,8360.549805,697200
13-07-2015,8397.25,8642.950195,8355.400391,8609.849609,8609.849609,546000
20-07-2015,8623.900391,8654.75,8498.650391,8521.549805,8521.549805,651800
27-07-2015,8492.099609,8548.950195,8321.75,8532.849609,8532.849609,870700
03-08-2015,8510.650391,8606.299805,8448.25,8564.599609,8564.599609,755500
10-08-2015,8577,8621.549805,8337.950195,8518.549805,8518.549805,812900
17-08-2015,8530.5,8530.599609,8225.049805,8299.950195,8299.950195,843900
24-08-2015,8055.950195,8091.799805,7667.25,8001.950195,8001.950195,1328700
31-08-2015,8009.25,8043.600098,7626.850098,7655.049805,7655.049805,947800
07-09-2015,7685.850098,7864.850098,7539.5,7789.299805,7789.299805,818700
14-09-2015,7811.100098,8055,7761.850098,7981.899902,7981.899902,641100
21-09-2015,7911.5,8021.600098,7723.25,7868.5,7868.5,639400
28-09-2015,7892.799805,8008.25,7691.200195,7950.899902,7950.899902,744600
05-10-2015,8005.100098,8232.200195,8005.100098,8189.700195,8189.700195,926900
12-10-2015,8231.5,8246.400391,8088.600098,8238.150391,8238.150391,807500
19-10-2015,8262.549805,8328.099609,8217.150391,8295.450195,8295.450195,576400
26-10-2015,8333.650391,8336.299805,8044.399902,8065.799805,8065.799805,896500
02-11-2015,8054.549805,8116.100098,7926.149902,7954.299805,7954.299805,742300
09-11-2015,7788.25,7937.75,7730.899902,7762.25,7762.25,559600
16-11-2015,7732.950195,7906.950195,7714.149902,7856.549805,7856.549805,722600
23-11-2015,7869.5,7959.299805,7812.649902,7942.700195,7942.700195,627700
30-11-2015,7936.25,7979.299805,7775.700195,7781.899902,7781.899902,759400
07-12-2015,7816.549805,7825.399902,7575.299805,7610.450195,7610.450195,721300
14-12-2015,7558.200195,7852.899902,7551.049805,7761.950195,7761.950195,804800
21-12-2015,7745.649902,7888.75,7733.450195,7861.049805,7861.049805,463400
28-12-2015,7863.200195,7955.549805,7863,7946.350098,7946.350098,493600
04-01-2016,7924.549805,7937.549805,7556.600098,7601.350098,7601.350098,773300
11-01-2016,7527.450195,7605.100098,7425.799805,7437.799805,7437.799805,966400
18-01-2016,7420.350098,7470.899902,7241.5,7422.450195,7422.450195,1117400
25-01-2016,7468.75,7575.649902,7402.799805,7563.549805,7563.549805,924000
01-02-2016,7589.5,7600.450195,7350.299805,7489.100098,7489.100098,1095100
08-02-2016,7489.700195,7512.549805,6869,6980.950195,6980.950195,1256700
15-02-2016,7057.350098,7226.850098,6960.649902,7210.75,7210.75,1307000
22-02-2016,7208.850098,7252.399902,6961.399902,7029.75,7029.75,1038300
29-02-2016,7050.450195,7505.899902,6825.799805,7485.350098,7485.350098,1647300
07-03-2016,7486.399902,7547.100098,7424.299805,7510.200195,7510.200195,925500
14-03-2016,7542.600098,7613.600098,7405.149902,7604.350098,7604.350098,1033000
21-03-2016,7619.200195,7728.200195,7617.700195,7716.5,7716.5,605300
28-03-2016,7741,7777.600098,7582.25,7713.049805,7713.049805,1255800
04-04-2016,7733.149902,7764.450195,7526.700195,7555.200195,7555.200195,902700
11-04-2016,7577.799805,7864.799805,7516.850098,7850.450195,7850.450195,563600
18-04-2016,7908.149902,7978.450195,7842.75,7899.299805,7899.299805,796900
25-04-2016,7894.799805,7992,7788.700195,7849.799805,7849.799805,1091700
02-05-2016,7822.700195,7890.25,7678.350098,7733.450195,7733.450195,881200
09-05-2016,7755.25,7916.049805,7753.549805,7814.899902,7814.899902,868900
16-05-2016,7831.200195,7940.100098,7735.75,7749.700195,7749.700195,872400
23-05-2016,7813.950195,8164.200195,7715.799805,8156.649902,8156.649902,1020400
30-05-2016,8166.5,8262,8134.299805,8220.799805,8220.799805,1473500
06-06-2016,8228.75,8294.950195,8162.850098,8170.049805,8170.049805,944900
13-06-2016,8102.25,8213.200195,8063.899902,8170.200195,8170.200195,840800
20-06-2016,8115.75,8285.599609,7927.049805,8088.600098,8088.600098,893400
27-06-2016,8039.350098,8356.75,8039.350098,8328.349609,8328.349609,924800
04-07-2016,8376.75,8398.450195,8287.549805,8323.200195,8323.200195,586600
11-07-2016,8413.349609,8594.799805,8407.049805,8541.400391,8541.400391,904500
18-07-2016,8564.049805,8587.099609,8476.700195,8541.200195,8541.200195,785700
25-07-2016,8519.950195,8674.700195,8517.200195,8638.5,8638.5,879400
01-08-2016,8654.299805,8711.299805,8518.150391,8683.150391,8683.150391,843400
08-08-2016,8712.849609,8728.349609,8540.049805,8592.150391,8592.150391,735500
15-08-2016,8670.25,8696.599609,8600.450195,8666.900391,8666.900391,755100
22-08-2016,8667,8684.849609,8547.549805,8572.549805,8572.549805,850000
29-08-2016,8583.75,8824.099609,8543.75,8809.650391,8809.650391,1072500
05-09-2016,8852.700195,8968.700195,8848.450195,8866.700195,8866.700195,878800
12-09-2016,8732.950195,8847.650391,8688.900391,8779.849609,8779.849609,780000
19-09-2016,8788.450195,8893.349609,8757.299805,8831.549805,8831.549805,775700
26-09-2016,8807.900391,8809.549805,8555.200195,8611.150391,8611.150391,1035500
03-10-2016,8666.150391,8806.950195,8635,8697.599609,8697.599609,792800
10-10-2016,8735.349609,8745.799805,8541.349609,8583.400391,8583.400391,483500
17-10-2016,8612.950195,8727,8506.150391,8693.049805,8693.049805,904400
24-10-2016,8709.849609,8736.950195,8550.25,8638,8638,984500
31-10-2016,8653.150391,8669.599609,8400.25,8433.75,8433.75,715600
07-11-2016,8535.75,8598.450195,8002.25,8296.299805,8296.299805,1212800
14-11-2016,8284.849609,8288.549805,8048.299805,8074.100098,8074.100098,981200
21-11-2016,8102.100098,8122.25,7916.399902,8114.299805,8114.299805,1048400
28-11-2016,8080.649902,8250.799805,8066.5,8086.799805,8086.799805,956600
05-12-2016,8088.75,8274.950195,8056.850098,8261.75,8261.75,703800
12-12-2016,8230.650391,8230.650391,8121.950195,8139.450195,8139.450195,821500
19-12-2016,8126,8132.5,7942.049805,7985.75,7985.75,605800
26-12-2016,7965.100098,8197,7893.799805,8185.799805,8185.799805,658500
02-01-2017,8210.099609,8306.849609,8133.799805,8243.799805,8243.799805,676500
09-01-2017,8259.349609,8461.049805,8227.75,8400.349609,8400.349609,786400
16-01-2017,8390.950195,8460.299805,8340.950195,8349.349609,8349.349609,778400
23-01-2017,8329.599609,8672.700195,8327.200195,8641.25,8641.25,942100
30-01-2017,8635.549805,8757.599609,8537.5,8740.950195,8740.950195,1627900
06-02-2017,8785.450195,8822.099609,8715,8793.549805,8793.549805,1052800
13-02-2017,8819.799805,8896.450195,8712.849609,8821.700195,8821.700195,1092200
20-02-2017,8818.549805,8982.150391,8809.799805,8939.5,8939.5,967800
27-02-2017,8943.700195,8992.5,8860.099609,8897.549805,8897.549805,1110800
06-03-2017,8915.099609,8977.849609,8891.950195,8934.549805,8934.549805,850200
13-03-2017,9091.650391,9218.400391,9060.5,9160.049805,9160.049805,1006200
20-03-2017,9166.950195,9167.599609,9019.299805,9108,9108,1207600
27-03-2017,9093.450195,9191.700195,9024.650391,9173.75,9173.75,1143700
03-04-2017,9220.599609,9273.900391,9188.099609,9198.299805,9198.299805,700000
10-04-2017,9225.599609,9246.400391,9144.950195,9150.799805,9150.799805,664200
17-04-2017,9144.75,9217.900391,9075.150391,9119.400391,9119.400391,673400
24-04-2017,9135.349609,9367.150391,9130.549805,9304.049805,9304.049805,893700
01-05-2017,9339.849609,9377.099609,9269.900391,9285.299805,9285.299805,814700
08-05-2017,9311.450195,9450.650391,9297.950195,9400.900391,9400.900391,784700
15-05-2017,9433.549805,9532.599609,9390.75,9427.900391,9427.900391,958200
22-05-2017,9480.25,9604.900391,9341.650391,9595.099609,9595.099609,1141000
29-05-2017,9560.049805,9673.5,9547.700195,9653.5,9653.5,1181500
05-06-2017,9656.299805,9709.299805,9608.150391,9668.25,9668.25,748700
12-06-2017,9646.700195,9654.150391,9560.799805,9588.049805,9588.049805,837200
19-06-2017,9626.400391,9698.849609,9565.299805,9574.950195,9574.950195,819200
26-06-2017,9594.049805,9615.400391,9448.75,9520.900391,9520.900391,814600
03-07-2017,9587.950195,9700.700195,9543.549805,9665.799805,9665.799805,747800
10-07-2017,9719.299805,9913.299805,9646.450195,9886.349609,9886.349609,703600
17-07-2017,9908.150391,9928.200195,9792.049805,9915.25,9915.25,1006200
24-07-2017,9936.799805,10114.84961,9919.599609,10014.5,10014.5,1037100
31-07-2017,10034.7002,10137.84961,9988.349609,10066.40039,10066.40039,954800
07-08-2017,10074.79981,10088.09961,9685.549805,9710.799805,9710.799805,1031300
14-08-2017,9755.75,9947.799805,9752.099609,9837.400391,9837.400391,859000
21-08-2017,9864.25,9884.349609,9740.099609,9857.049805,9857.049805,742200
28-08-2017,9907.150391,9983.450195,9783.75,9974.400391,9974.400391,976200
04-09-2017,9984.150391,9988.400391,9861,9934.799805,9934.799805,789600
